Product,Price,Price per 100ml,URL
Avène Couvrance Fluido Maquiagem,17.62,,https://wells.pt/couvrance-fluid-foundation-corrector-3.0-3599509.html
Cerave Hydrating Cleanser (1000ml),16.51,1.65,https://aveirofarma.pt/cerave-creme-hidratante-de-limpeza-1000ml-
Cerave Hydrating Cream To Foam Cleanser (473ml),16.04,3.39,https://aveirofarma.pt/cera-ve-creme-espuma-de-limpeza-hidratante-473ml
Cerave Micellar Water (295ml),9.99,3.39,https://www.atida.com/pt-pt/cerave-agua-micelar-295ml
Dercos DS (390ml),20.74,5.32,https://atuafarmacia.pt/products/dercos-anticaspa-ch-caspa-oleosa-390ml
LRP Anthelios UVMune 400 SPF50,20.99,,https://www.atida.com/pt-pt/la-roche-posay-anthelios-xl-50-creme-fondante-50ml-sem-perfume
LRP Anthelios UVMune 400 SPF50 - Oil control,19.67,,https://wells.pt/protetor-solar-anthelios-uvmune-400-spf50-5058410.html
Medik8 Crystal Retinal 10,77.20,,https://www.sweetcare.pt/pt/medik8-vitamina-cristal-retinal-serum-noturno-retinal-p-017631kd?st=04
Medik8 Crystal Retinal 3,45.62,,https://www.sweetcare.pt/pt/medik8-vitamina-cristal-retinal-serum-noturno-retinal-p-017631kd?st=02
Medik8 Crystal Retinal 6,59.66,,https://www.sweetcare.pt/pt/medik8-vitamina-cristal-retinal-serum-noturno-retinal-p-017631kd?st=03
Medik8 Duo,72.67,,https://www.sabina.com/pt/cosmetica-facial-mulher/35249-advanced-night-restore-50-ml-hydr8-b5-intense-30ml.html
Medik8 Sleep Glycolic,34.39,,https://www.sweetcare.pt/pt/medik8-exfoliation-cleansing-sleep-glycolic-at-home-peel-noturno-p-017678kd
Medik8 Super Ferrulic,59.66,,https://www.sweetcare.pt/pt/medik8-vitamin-c-super-c-ferulic-serum-vitamina-c-p-017624kd?st=01
Paradontax (500ml),,,
Paradontax gums (500ml),6.58,1.32,https://wells.pt/elixir-cuidado-gengivas-7009519.html
Paradontax pasta (2x75ml),7.49,4.99,https://wells.pt/pasta-de-dentes-parodontax-original-7753557.html
