Product,Site,Price,Price per 100ml,URL
Avène Couvrance Fluido Maquiagem,farmacia365.pt,13.50,,https://www.farmacia365.pt/avene-couvrance-base-fluido-bege-30ml_6951863
Avène Couvrance Fluido Maquiagem,notino.pt,15.28,,https://www.notino.pt/avene/couvrance-base-de-cobertura-liquida-spf-20/p-11635778/
Avène Couvrance Fluido Maquiagem,wells.pt,16.45,,https://wells.pt/couvrance-fluid-foundation-corrector-3.0-3599509.html
Avène Couvrance Fluido Maquiagem,farmacentral.pt,16.88,,https://farmacentral.pt/pt/artigo/avene-couvrance-base-fluida-areia-30ml
Avène Couvrance Fluido Maquiagem,atida.com,19.99,,https://www.atida.com/pt-pt/avene-couvrance-fluido-areia-spf20-30ml
Cerave Hydrating Cleanser (1000ml),wells.pt,16.05,1.61,https://wells.pt/creme-limpeza-rosto-e-corpo-hidratante-6703201.html
Cerave Hydrating Cleanser (1000ml),farmacia365.pt,16.31,1.63,https://www.farmacia365.pt/cerave-creme-limpeza-hidratante-rostocorpo-1000ml
Cerave Hydrating Cleanser (1000ml),atida.com,19.99,2.00,https://www.atida.com/pt-pt/cerave-de-limpeza-hidratante-1-litro
Cerave Hydrating Cleanser (236ml),farmacentral.pt,7.23,3.06,https://farmacentral.pt/pt/artigo/cerave-cleanser-hydrating-limpeza-facial-236ml
Cerave Hydrating Cleanser (236ml),notino.pt,10.08,4.27,https://www.notino.pt/cerave/cleansers-emulsao-de-limpeza-com-efeito-hidratante/p-15692605/
Cerave Hydrating Cleanser (2x1000ml),atida.com,38.99,1.95,https://www.atida.com/pt-pt/cerave-creme-de-limpeza-hidratante-2x1-litro
Cerave Hydrating Cleanser (2x473ml),atida.com,24.99,2.64,https://www.atida.com/pt-pt/cerave-limpador-hidratante-473-ml-recarga
Cerave Hydrating Cleanser (2x473ml),atida.com,27.30,2.89,https://www.atida.com/pt-pt/cerave-creme-de-limpeza-hidratante-2x473-ml
Cerave Hydrating Cleanser (473ml),aveirofarma.pt,9.71,2.05,https://aveirofarma.pt/cerave-creme-hidratante-de-limpeza-recarga-473ml
Cerave Hydrating Cleanser (473ml),farmacia365.pt,9.86,2.08,https://www.farmacia365.pt/cerave-refill-limpeza-hidratante-473ml
Cerave Hydrating Cleanser (473ml),farmacentral.pt,10.41,2.20,https://farmacentral.pt/pt/artigo/cerave-cleanser-hydrating-limpeza-facial-473ml
Cerave Hydrating Cleanser (473ml),farmacia365.pt,11.14,2.36,https://www.farmacia365.pt/cerave-creme-limpeza-hidratante-rostocorpo-473ml
Cerave Hydrating Cleanser (473ml),wells.pt,11.18,2.36,https://wells.pt/creme-limpeza-rosto-e-corpo-hidratante-6616328.html
Cerave Hydrating Cleanser (473ml),aveirofarma.pt,11.56,2.44,https://aveirofarma.pt/cerave-creme-hidratante-de-limpeza-473ml
Cerave Hydrating Cleanser (473ml),atida.com,11.99,2.53,https://www.atida.com/pt-pt/cerave-limpador-hidratante-recharge-473-ml
Cerave Hydrating Cleanser (473ml),notino.pt,12.48,2.64,https://www.notino.pt/cerave/cleansers-emulsao-de-limpeza-com-efeito-hidratante/p-16298662/
Cerave Hydrating Cleanser (473ml),atida.com,13.99,2.96,https://www.atida.com/pt-pt/cerave-limpador-hidratante-473ml
